"","Condition","Temperature","Colony","Rep","OD","Area"
"1","20S","37","1","1",0.881,81.5000640055667
"2","20S","37","1","2",0.635,66.2285620501521
"3","20S","37","1","3",0.648,68.4520509923219
"4","20S","37","1","4",0.816,77.9905817905631
"5","20S","37","1","5",0.851,80.1236341622563
"6","20S","20","1","1",1.168,88.7840420929825
"7","20S","20","1","2",1.099,87.9019400436694
"8","20S","20","1","3",1.075,81.0174743556343
"9","20S","20","1","4",1.158,84.656157421163
"10","20S","20","1","5",1.532,94.5408427134988
"11","20S","37","2","1",0.679,66.0752313660859
"12","20S","37","2","2",0.591,55.5257795780516
"13","20S","37","2","3",0.677,65.2839169672341
"14","20S","37","2","4",0.641,60.0398611598343
"15","20S","37","2","5",0.829,74.1599719017253
"16","20S","20","2","1",1.433,84.7278582768487
"17","20S","20","2","2",1.625,89.814981471012
"18","20S","20","2","3",1.204,81.5950401453704
"19","20S","20","2","4",1.179,90.2221202322025
"20","20S","20","2","5",1.364,83.118401097015
"21","20S","37","3","1",0.565,54.3876250026446
"22","20S","37","3","2",0.572,56.7781859478287
"23","20S","37","3","3",0.542,53.82670520093
"24","20S","37","3","4",0.544,52.6403370915571
"25","20S","37","3","5",0.596,54.8695441031281
"26","20S","20","3","1",1.028,85.4295449701376
"27","20S","20","3","2",1.016,78.5828191471282
"28","20S","20","3","3",1.062,80.1244202817323
"29","20S","20","3","4",1.08,88.8515337259208
"30","20S","20","3","5",0.984,87.1471098789125
"31","20S","37","4","1",0.55,48.5335683453086
"32","20S","37","4","2",0.596,53.983665272512
"33","20S","37","4","3",0.572,54.5744973236572
"34","20S","37","4","4",0.489,44.7237616298185
"35","20S","37","4","5",0.562,52.1878346347322
"36","20S","20","4","1",1.033,87.3810156338389
"37","20S","20","4","2",1.276,78.083493753797
"38","20S","20","4","3",1.321,83.6970585007331
"39","20S","20","4","4",1.152,87.6333738694969
"40","20S","20","4","5",1.386,88.0799593896431
"41","20S","37","5","1",0.601,54.6784465418409
"42","20S","37","5","2",0.538,54.7004235602542
"43","20S","37","5","3",0.65,58.0448038096122
"44","20S","37","5","4",0.558,55.8168119501037
"45","20S","37","5","5",0.563,53.307944104378
"46","20S","20","5","1",1.643,96.8157085381702
"47","20S","20","5","2",1.363,81.5575121035085
"48","20S","20","5","3",1.203,72.7958438944925
"49","20S","20","5","4",1.546,96.2052936216315
"50","20S","20","5","5",1.172,91.8752657638429
"51","20S","37","6","1",0.606,59.9244908714455
"52","20S","37","6","2",0.64,63.1418416667479
"53","20S","37","6","3",0.542,57.6947239085192
"54","20S","37","6","4",0.619,61.6203114036118
"55","20S","37","6","5",0.679,67.6212366921375
"56","20S","20","6","1",1.807,106.145137478243
"57","20S","20","6","2",1.315,92.7982403726869
"58","20S","20","6","3",1.082,100.430142914809
"59","20S","20","6","4",1.443,101.922155679367
"60","20S","20","6","5",1.671,104.195581761439
"61","20S","37","7","1",0.626,58.2349146590991
"62","20S","37","7","2",0.539,54.2941616416675
"63","20S","37","7","3",0.566,52.821486493153
"64","20S","37","7","4",0.485,47.6009959356301
"65","20S","37","7","5",0.542,56.0533260588757
"66","20S","20","7","1",1.141,71.3630931941908
"67","20S","20","7","2",1.269,78.6283905583567
"68","20S","20","7","3",1.305,80.9916281386062
"69","20S","20","7","4",1.266,74.1664161766016
"70","20S","20","7","5",1.077,62.1818606166948
"71","20S","37","8","1",0.375,34.8476751191347
"72","20S","37","8","2",0.42,39.2019083395841
"73","20S","37","8","3",0.421,40.6077224934938
"74","20S","37","8","4",0.478,45.4090787878345
"75","20S","37","8","5",0.592,52.2925536160368
"76","20S","20","8","1",1.367,89.5930509793788
"77","20S","20","8","2",1.201,87.8373668991382
"78","20S","20","8","3",1.288,85.5155516754916
"79","20S","20","8","4",1.181,88.1835001916153
"80","20S","20","8","5",1.478,90.8714438707436
"81","20S","37","9","1",0.569,57.6768618878137
"82","20S","37","9","2",0.521,53.8329920463163
"83","20S","37","9","3",0.522,54.3236890656963
"84","20S","37","9","4",0.495,50.7931504147158
"85","20S","37","9","5",0.514,50.1666890287297
