Date,FA#,Condition,Temperature,Colony,Rep_1,Rep_2,Rep_3,Rep_4,Rep_5
2024-08-21 10:00:00,10,20S,37,1,0.907,0.605,0.893,0.899,0.941
2024-08-21 10:00:00,10,20S,20,1,1.092,1.015,1.051,0.998,0.808
2024-08-21 10:00:00,10,20S,37,2,0.972,0.892,0.989,0.958,1.06
2024-08-21 10:00:00,10,20S,20,2,1.068,1.143,1.31,1.234,1.182
2024-08-21 10:00:00,10,20S,37,3,0.911,0.912,0.932,0.96,0.942
2024-08-21 10:00:00,10,20S,20,3,1.131,1.166,1.342,1.088,1.262
2024-08-21 10:00:00,10,20S,37,4,0.816,0.656,0.688,0.772,0.701
2024-08-21 10:00:00,10,20S,20,4,1.04,1.146,1.276,1.068,1.151
2024-08-21 10:00:00,10,20S,37,5,0.82,0.824,0.895,0.893,0.815
2024-08-21 10:00:00,10,20S,20,5,1.086,0.981,0.922,0.894,0.951
2024-08-21 10:00:00,10,20S,37,6,0.838,0.93,0.868,0.758,0.891
2024-08-21 10:00:00,10,20S,20,6,1.014,0.957,1.148,1.177,1.065
2024-08-21 10:00:00,10,20S,37,7,0.848,0.603,0.812,0.841,0.69
2024-08-21 10:00:00,10,20S,20,7,0.977,1.031,1.063,0.787,0.911
2024-08-21 10:00:00,10,20S,37,8,0.711,0.767,0.731,0.749,0.801
2024-08-21 10:00:00,10,20S,20,8,1.363,1.189,1.143,1.236,1.074
2024-08-21 10:00:00,10,20S,37,9,0.767,0.805,0.697,0.723,0.747
2024-08-21 10:00:00,10,20S,20,9,0.966,0.936,0.921,1.057,1.142
2024-08-21 10:00:00,10,20S,37,10,0.921,0.916,0.876,0.921,0.853
2024-08-21 10:00:00,10,20S,20,10,1.177,0.987,1.015,1.014,1.06
2024-08-21 10:00:00,10,20S,37,11,1.013,0.883,0.803,0.963,0.886
2024-08-21 10:00:00,10,20S,20,11,1.42,1.243,1.282,1.076,1.024
2024-08-21 10:00:00,10,20S,37,12,0.981,1.009,0.914,0.985,0.996
2024-08-21 10:00:00,10,20S,20,12,1.047,1.004,0.986,0.902,0.86
2024-08-21 10:00:00,10,37S,37,1,1.793,1.631,1.613,1.324,1.299
2024-08-21 10:00:00,10,37S,20,1,0.891,0.92,0.854,0.833,0.754
2024-08-21 10:00:00,10,37S,37,2,0.846,0.627,0.84,0.546,0.629
2024-08-21 10:00:00,10,37S,20,2,0.907,0.933,0.791,0.874,0.765
2024-08-21 10:00:00,10,37S,37,3,0.429,0.332,0.334,0.623,0.625
2024-08-21 10:00:00,10,37S,20,3,0.931,1.258,1.923,1.14,1.074
2024-08-21 10:00:00,10,37S,37,4,0.998,0.917,0.812,0.943,0.94
2024-08-21 10:00:00,10,37S,20,4,1.207,1.019,0.975,1.23,0.743
2024-08-21 10:00:00,10,37S,37,5,1.138,0.763,0.781,0.842,1.001
2024-08-21 10:00:00,10,37S,20,5,1.617,1.623,1.137,1.527,0.911
2024-08-21 10:00:00,10,37S,37,6,0.82,0.868,0.776,0.831,0.805
2024-08-21 10:00:00,10,37S,20,6,1.057,0.944,0.785,0.906,0.932
2024-08-21 10:00:00,10,37S,37,7,0.663,0.521,0.846,0.779,0.651
2024-08-21 10:00:00,10,37S,20,7,1.588,1.409,1.555,1.374,1.269
2024-08-21 10:00:00,10,37S,37,8,1.057,0.955,1.021,0.863,0.883
2024-08-21 10:00:00,10,37S,20,8,0.833,0.899,0.813,0.819,0.886
2024-08-21 10:00:00,10,37S,37,9,1.269,1.253,1.131,0.858,1.153
2024-08-21 10:00:00,10,37S,20,9,0.718,0.764,0.801,0.834,0.816
2024-08-21 10:00:00,10,37S,37,10,0.981,0.889,0.973,0.957,0.917
2024-08-21 10:00:00,10,37S,20,10,0.65,0.9,0.703,0.75,0.858
