"Days","FA","Condition","Temperature","Colony","Rep","OD","Area"
0,1,"37S","37",1,"1",0.074,0
0.333333333333333,1,"37S","37",1,"1",0.407,1.924
1,1,"37S","37",1,"1",1.296,15.548
1.33333333333333,1,"37S","37",1,"1",1.194,25.508
2,1,"37S","37",1,"1",1.151,44.268
2.33333333333333,1,"37S","37",1,"1",1.144,53.448
3,1,"37S","37",1,"1",1.103,71.424
3.33333333333333,1,"37S","37",1,"1",1.029,79.952
4,1,"37S","37",1,"1",0.883,95.248
4.33333333333333,1,"37S","37",1,"1",0.836,102.124
0,1,"37S","37",1,"2",0.079,0
0.333333333333333,1,"37S","37",1,"2",0.337,1.664
1,1,"37S","37",1,"2",1.172,13.736
1.33333333333333,1,"37S","37",1,"2",1.125,22.924
2,1,"37S","37",1,"2",1.093,40.668
2.33333333333333,1,"37S","37",1,"2",1.087,49.388
3,1,"37S","37",1,"2",1.033,66.348
3.33333333333333,1,"37S","37",1,"2",0.953,74.292
4,1,"37S","37",1,"2",0.773,88.1
4.33333333333333,1,"37S","37",1,"2",0.716,94.056
0,1,"37S","37",1,"3",0.08,0
0.333333333333333,1,"37S","37",1,"3",0.283,1.452
1,1,"37S","37",1,"3",1.224,13.508
1.33333333333333,1,"37S","37",1,"3",1.171,23.088
2,1,"37S","37",1,"3",1.092,41.192
2.33333333333333,1,"37S","37",1,"3",1.073,49.852
3,1,"37S","37",1,"3",0.971,66.204
3.33333333333333,1,"37S","37",1,"3",0.876,73.592
4,1,"37S","37",1,"3",0.704,86.232
4.33333333333333,1,"37S","37",1,"3",0.646,91.632
0,1,"37S","37",1,"4",0.074,0
0.333333333333333,1,"37S","37",1,"4",0.228,1.208
1,1,"37S","37",1,"4",1.314,13.544
1.33333333333333,1,"37S","37",1,"4",1.279,23.916
2,1,"37S","37",1,"4",1.195,43.708
2.33333333333333,1,"37S","37",1,"4",1.187,53.236
3,1,"37S","37",1,"4",1.104,71.564
3.33333333333333,1,"37S","37",1,"4",1.012,80.028
4,1,"37S","37",1,"4",0.853,94.948
4.33333333333333,1,"37S","37",1,"4",0.802,101.568
0,1,"37S","37",1,"5",0.077,0
0.333333333333333,1,"37S","37",1,"5",0.23,1.228
1,1,"37S","37",1,"5",1.224,12.86
1.33333333333333,1,"37S","37",1,"5",1.198,22.548
2,1,"37S","37",1,"5",1.12,41.092
2.33333333333333,1,"37S","37",1,"5",1.107,50
3,1,"37S","37",1,"5",1.033,67.12
3.33333333333333,1,"37S","37",1,"5",0.958,75.084
4,1,"37S","37",1,"5",0.814,89.26
4.33333333333333,1,"37S","37",1,"5",0.765,95.576
0,1,"37S","20",1,"1",0.069,0
0.333333333333333,1,"37S","20",1,"1",0.107,0.704
1,1,"37S","20",1,"1",0.28,3.8
1.33333333333333,1,"37S","20",1,"1",0.593,7.292
2,1,"37S","20",1,"1",1.002,20.052
2.33333333333333,1,"37S","20",1,"1",1.446,29.844
3,1,"37S","20",1,"1",1.792,55.748
3.33333333333333,1,"37S","20",1,"1",1.49,68.876
4,1,"37S","20",1,"1",1.763,94.9
4.33333333333333,1,"37S","20",1,"1",1.68,108.672
0,1,"37S","20",1,"2",0.065,0
0.333333333333333,1,"37S","20",1,"2",0.103,0.672
1,1,"37S","20",1,"2",0.288,3.8
1.33333333333333,1,"37S","20",1,"2",0.718,7.824
2,1,"37S","20",1,"2",1.002,21.584
2.33333333333333,1,"37S","20",1,"2",1.574,31.888
3,1,"37S","20",1,"2",1.694,58.032
3.33333333333333,1,"37S","20",1,"2",1.436,70.552
4,1,"37S","20",1,"2",1.695,95.6
4.33333333333333,1,"37S","20",1,"2",1.637,108.928
0,1,"37S","20",1,"3",0.076,0
0.333333333333333,1,"37S","20",1,"3",0.133,0.836
1,1,"37S","20",1,"3",0.267,4.036
1.33333333333333,1,"37S","20",1,"3",0.743,8.076
2,1,"37S","20",1,"3",1.177,23.436
2.33333333333333,1,"37S","20",1,"3",1.379,33.66
3,1,"37S","20",1,"3",1.65,57.892
3.33333333333333,1,"37S","20",1,"3",1.589,70.848
4,1,"37S","20",1,"3",1.583,96.224
4.33333333333333,1,"37S","20",1,"3",1.486,108.5
0,1,"37S","20",1,"4",0.066,0
0.333333333333333,1,"37S","20",1,"4",0.15,0.864
1,1,"37S","20",1,"4",0.239,3.976
1.33333333333333,1,"37S","20",1,"4",0.774,8.028
2,1,"37S","20",1,"4",1.102,23.036
2.33333333333333,1,"37S","20",1,"4",1.479,33.36
3,1,"37S","20",1,"4",1.78,59.432
3.33333333333333,1,"37S","20",1,"4",1.547,72.74
4,1,"37S","20",1,"4",1.552,97.532
4.33333333333333,1,"37S","20",1,"4",1.537,109.888
0,1,"37S","20",1,"5",0.063,0
0.333333333333333,1,"37S","20",1,"5",0.156,0.876
1,1,"37S","20",1,"5",0.316,4.652
1.33333333333333,1,"37S","20",1,"5",0.827,9.224
2,1,"37S","20",1,"5",1.25,25.84
2.33333333333333,1,"37S","20",1,"5",1.41,36.48
3,1,"37S","20",1,"5",1.718,61.504
3.33333333333333,1,"37S","20",1,"5",1.411,74.02
4,1,"37S","20",1,"5",1.518,97.452
4.33333333333333,1,"37S","20",1,"5",1.504,109.54
0,1,"37S","37",2,"1",0.079,0
0.333333333333333,1,"37S","37",2,"1",0.382,1.844
1,1,"37S","37",2,"1",0.78,11.14
1.33333333333333,1,"37S","37",2,"1",0.783,17.392
2,1,"37S","37",2,"1",0.742,29.592
2.33333333333333,1,"37S","37",2,"1",0.73,35.48
3,1,"37S","37",2,"1",0.691,46.848
3.33333333333333,1,"37S","37",2,"1",0.671,52.296
4,1,"37S","37",2,"1",0.567,62.2
4.33333333333333,1,"37S","37",2,"1",0.536,66.612
0,1,"37S","37",2,"2",0.066,0
0.333333333333333,1,"37S","37",2,"2",0.285,1.404
1,1,"37S","37",2,"2",1.07,12.244
1.33333333333333,1,"37S","37",2,"2",1.015,20.584
2,1,"37S","37",2,"2",0.929,36.136
2.33333333333333,1,"37S","37",2,"2",0.914,43.508
3,1,"37S","37",2,"2",0.851,57.628
3.33333333333333,1,"37S","37",2,"2",0.801,64.236
4,1,"37S","37",2,"2",0.661,75.932
4.33333333333333,1,"37S","37",2,"2",0.607,81.004
0,1,"37S","37",2,"3",0.073,0
0.333333333333333,1,"37S","37",2,"3",0.402,1.9
1,1,"37S","37",2,"3",0.863,12.02
1.33333333333333,1,"37S","37",2,"3",0.844,18.848
2,1,"37S","37",2,"3",0.796,31.968
2.33333333333333,1,"37S","37",2,"3",0.796,38.336
3,1,"37S","37",2,"3",0.75,50.704
3.33333333333333,1,"37S","37",2,"3",0.711,56.548
4,1,"37S","37",2,"3",0.598,67.02
4.33333333333333,1,"37S","37",2,"3",0.56,71.652
0,1,"37S","37",2,"4",0.073,0
0.333333333333333,1,"37S","37",2,"4",0.32,1.572
1,1,"37S","37",2,"4",0.883,11.196
1.33333333333333,1,"37S","37",2,"4",0.872,18.216
2,1,"37S","37",2,"4",0.834,31.864
2.33333333333333,1,"37S","37",2,"4",0.832,38.528
3,1,"37S","37",2,"4",0.818,51.728
3.33333333333333,1,"37S","37",2,"4",0.796,58.184
4,1,"37S","37",2,"4",0.711,70.24
4.33333333333333,1,"37S","37",2,"4",0.675,75.784
0,1,"37S","37",2,"5",0.071,0
0.333333333333333,1,"37S","37",2,"5",0.222,1.172
1,1,"37S","37",2,"5",0.79,9.268
1.33333333333333,1,"37S","37",2,"5",0.808,15.66
2,1,"37S","37",2,"5",0.776,28.332
2.33333333333333,1,"37S","37",2,"5",0.776,34.54
3,1,"37S","37",2,"5",0.759,46.82
3.33333333333333,1,"37S","37",2,"5",0.739,52.812
4,1,"37S","37",2,"5",0.664,64.036
4.33333333333333,1,"37S","37",2,"5",0.628,69.204
0,1,"37S","20",2,"1",0.065,0
0.333333333333333,1,"37S","20",2,"1",0.149,0.856
1,1,"37S","20",2,"1",0.394,5.2
1.33333333333333,1,"37S","20",2,"1",0.462,8.624
2,1,"37S","20",2,"1",0.9,19.52
2.33333333333333,1,"37S","20",2,"1",1.197,27.908
3,1,"37S","20",2,"1",1.5,49.484
3.33333333333333,1,"37S","20",2,"1",1.676,62.188
4,1,"37S","20",2,"1",1.385,86.676
4.33333333333333,1,"37S","20",2,"1",1.557,98.444
0,1,"37S","20",2,"2",0.065,0
0.333333333333333,1,"37S","20",2,"2",0.134,0.796
1,1,"37S","20",2,"2",0.411,5.156
1.33333333333333,1,"37S","20",2,"2",0.336,8.144
2,1,"37S","20",2,"2",1.149,20.024
2.33333333333333,1,"37S","20",2,"2",1.19,29.38
3,1,"37S","20",2,"2",1.524,51.092
3.33333333333333,1,"37S","20",2,"2",1.636,63.732
4,1,"37S","20",2,"2",1.341,87.548
4.33333333333333,1,"37S","20",2,"2",1.573,99.204
0,1,"37S","20",2,"3",0.074,0
0.333333333333333,1,"37S","20",2,"3",0.173,0.988
1,1,"37S","20",2,"3",0.785,8.652
1.33333333333333,1,"37S","20",2,"3",0.439,13.548
2,1,"37S","20",2,"3",1.278,27.284
2.33333333333333,1,"37S","20",2,"3",1.512,38.444
3,1,"37S","20",2,"3",1.459,62.212
3.33333333333333,1,"37S","20",2,"3",1.597,74.436
4,1,"37S","20",2,"3",1.428,98.636
4.33333333333333,1,"37S","20",2,"3",1.6,110.748
0,1,"37S","20",2,"4",0.08,0
0.333333333333333,1,"37S","20",2,"4",0.106,0.744
1,1,"37S","20",2,"4",0.266,3.72
1.33333333333333,1,"37S","20",2,"4",0.53,6.904
2,1,"37S","20",2,"4",1.165,20.464
2.33333333333333,1,"37S","20",2,"4",1.366,30.588
3,1,"37S","20",2,"4",1.555,53.956
3.33333333333333,1,"37S","20",2,"4",1.449,65.972
4,1,"37S","20",2,"4",1.389,88.676
4.33333333333333,1,"37S","20",2,"4",1.563,100.484
0,1,"37S","20",2,"5",0.079,0
0.333333333333333,1,"37S","20",2,"5",0.332,1.644
1,1,"37S","20",2,"5",0.33,6.94
1.33333333333333,1,"37S","20",2,"5",0.392,9.828
2,1,"37S","20",2,"5",0.977,20.78
2.33333333333333,1,"37S","20",2,"5",0.872,28.176
3,1,"37S","20",2,"5",1,43.152
3.33333333333333,1,"37S","20",2,"5",0.95,50.952
4,1,"37S","20",2,"5",1.031,66.8
4.33333333333333,1,"37S","20",2,"5",1.069,75.2
0,1,"37S","37",3,"1",0.059,0
0.333333333333333,1,"37S","37",3,"1",0.513,2.288
1,1,"37S","37",3,"1",0.888,13.496
1.33333333333333,1,"37S","37",3,"1",0.91,20.688
2,1,"37S","37",3,"1",0.872,34.944
2.33333333333333,1,"37S","37",3,"1",0.87,41.912
3,1,"37S","37",3,"1",0.825,55.472
3.33333333333333,1,"37S","37",3,"1",0.782,61.9
4,1,"37S","37",3,"1",0.677,73.572
4.33333333333333,1,"37S","37",3,"1",0.643,78.852
0,1,"37S","37",3,"2",0.062,0
0.333333333333333,1,"37S","37",3,"2",0.32,1.528
1,1,"37S","37",3,"2",0.674,9.48
1.33333333333333,1,"37S","37",3,"2",0.738,15.128
2,1,"37S","37",3,"2",0.712,26.728
2.33333333333333,1,"37S","37",3,"2",0.727,32.484
3,1,"37S","37",3,"2",0.69,43.82
3.33333333333333,1,"37S","37",3,"2",0.672,49.268
4,1,"37S","37",3,"2",0.604,59.476
4.33333333333333,1,"37S","37",3,"2",0.571,64.176
0,1,"37S","37",3,"3",0.064,0
0.333333333333333,1,"37S","37",3,"3",0.296,1.44
1,1,"37S","37",3,"3",0.697,9.384
1.33333333333333,1,"37S","37",3,"3",0.74,15.132
2,1,"37S","37",3,"3",0.698,26.636
2.33333333333333,1,"37S","37",3,"3",0.699,32.224
3,1,"37S","37",3,"3",0.645,42.976
3.33333333333333,1,"37S","37",3,"3",0.614,48.012
4,1,"37S","37",3,"3",0.523,57.108
4.33333333333333,1,"37S","37",3,"3",0.491,61.164
0,1,"37S","37",3,"4",0.06,0
0.333333333333333,1,"37S","37",3,"4",0.361,1.684
1,1,"37S","37",3,"4",0.736,10.46
1.33333333333333,1,"37S","37",3,"4",0.778,16.516
2,1,"37S","37",3,"4",0.752,28.756
2.33333333333333,1,"37S","37",3,"4",0.748,34.756
3,1,"37S","37",3,"4",0.727,46.556
3.33333333333333,1,"37S","37",3,"4",0.696,52.248
4,1,"37S","37",3,"4",0.609,62.688
4.33333333333333,1,"37S","37",3,"4",0.578,67.436
0,1,"37S","37",3,"5",0.053,0
0.333333333333333,1,"37S","37",3,"5",0.213,1.064
1,1,"37S","37",3,"5",0.557,7.224
1.33333333333333,1,"37S","37",3,"5",0.662,12.1
2,1,"37S","37",3,"5",0.658,22.66
2.33333333333333,1,"37S","37",3,"5",0.648,27.884
3,1,"37S","37",3,"5",0.628,38.092
3.33333333333333,1,"37S","37",3,"5",0.605,43.024
4,1,"37S","37",3,"5",0.528,52.088
4.33333333333333,1,"37S","37",3,"5",0.499,56.196
