"Cell_Line","Temperature","Time","Rep","Area","Batch","Incubator"
"X1690",16,0,0,0,"1","B"
"X1690",16,0,1,0,"1","B"
"X1690",16,0,2,0,"1","B"
"X1690",16,0,3,0,"1","B"
"X1690",16,0,4,0,"1","B"
"X1690",16,0,5,0,"1","B"
"X1690",16,0,6,0,"1","B"
"X1690",16,0,7,0,"1","B"
"X1690",16,2,0,0.216,"1","B"
"X1690",16,2,1,0.216,"1","B"
"X1690",16,2,2,0.092,"1","B"
"X1690",16,2,3,0.269,"1","B"
"X1690",16,2,4,0.176,"1","B"
"X1690",16,2,5,0.247,"1","B"
"X1690",16,2,6,0.163,"1","B"
"X1690",16,2,7,0.186,"1","B"
"X1690",16,8,0,0.869000044000065,"1","B"
"X1690",16,8,1,0.935666593333225,"1","B"
"X1690",16,8,2,0.372833340666678,"1","B"
"X1690",16,8,3,1.15758332966666,"1","B"
"X1690",16,8,4,0.697083395666759,"1","B"
"X1690",16,8,5,1.048,"1","B"
"X1690",16,8,6,0.656916692333371,"1","B"
"X1690",16,8,7,0.792166703333388,"1","B"
"X1690",16,20,0,2.35100001315553,"1","B"
"X1690",16,20,1,2.62603701305391,"1","B"
"X1690",16,20,2,0.979407297408651,"1","B"
"X1690",16,20,3,3.24905546124152,"1","B"
"X1690",16,20,4,1.89283335233577,"1","B"
"X1690",16,20,5,3.38577777258053,"1","B"
"X1690",16,20,6,1.76975895331189,"1","B"
"X1690",16,20,7,2.23029630858562,"1","B"
"X1690",16,26,0,3.18978851310603,"1","B"
"X1690",16,26,1,3.68936226076889,"1","B"
"X1690",16,26,2,1.30409964830072,"1","B"
"X1690",16,26,3,4.39090012768571,"1","B"
"X1690",16,26,4,2.55417918666955,"1","B"
"X1690",16,26,5,5.14630911922296,"1","B"
"X1690",16,26,6,2.40584530320087,"1","B"
"X1690",16,26,7,2.98295901468067,"1","B"
"X1690",16,32,0,4.12156797895852,"1","B"
"X1690",16,32,1,4.68676598821262,"1","B"
"X1690",16,32,2,1.64272713102733,"1","B"
"X1690",16,32,3,5.43909255845422,"1","B"
"X1690",16,32,4,3.40941252075304,"1","B"
"X1690",16,32,5,6.94873186694212,"1","B"
"X1690",16,32,6,3.11476313014556,"1","B"
"X1690",16,32,7,3.81550469275213,"1","B"
"X1690",16,44,0,6.11610912578457,"1","B"
"X1690",16,44,1,6.67940390717349,"1","B"
"X1690",16,44,2,2.38022982358938,"1","B"
"X1690",16,44,3,7.90232198546533,"1","B"
"X1690",16,44,4,6.02643068139148,"1","B"
"X1690",16,44,5,11.3761501236518,"1","B"
"X1690",16,44,6,4.78196853773497,"1","B"
"X1690",16,44,7,5.98480546262304,"1","B"
"X1690",16,50,0,7.11568435906949,"1","B"
"X1690",16,50,1,8.18387923693648,"1","B"
"X1690",16,50,2,2.78811151729101,"1","B"
"X1690",16,50,3,9.56248333055337,"1","B"
"X1690",16,50,4,7.45438100483788,"1","B"
"X1690",16,50,5,14.4140818483064,"1","B"
"X1690",16,50,6,5.79320583699368,"1","B"
"X1690",16,50,7,7.17164396781601,"1","B"
"X1690",16,56,0,8.38469015575149,"1","B"
"X1690",16,56,1,9.99835620095807,"1","B"
"X1690",16,56,2,3.29929645269234,"1","B"
"X1690",16,56,3,11.4292469032129,"1","B"
"X1690",16,56,4,8.91353235286089,"1","B"
"X1690",16,56,5,18.8567703007641,"1","B"
"X1690",16,56,6,6.94196901313768,"1","B"
"X1690",16,56,7,8.57200494907191,"1","B"
"X1690",16,68,0,11.3668380534415,"1","B"
"X1690",16,68,1,15.0908998470299,"1","B"
"X1690",16,68,2,4.54841143431638,"1","B"
"X1690",16,68,3,16.0417317501478,"1","B"
"X1690",16,68,4,12.4360426345311,"1","B"
"X1690",16,68,5,27.3337677045148,"1","B"
"X1690",16,68,6,9.86309255090754,"1","B"
"X1690",16,68,7,12.1965256351827,"1","B"
"X1690",16,74,0,13.1493236773182,"1","B"
"X1690",16,74,1,18.9541293706289,"1","B"
"X1690",16,74,2,5.16743728342809,"1","B"
"X1690",16,74,3,19.2280300622551,"1","B"
"X1690",16,74,4,14.3784702736248,"1","B"
"X1690",16,74,5,31.8980074742746,"1","B"
"X1690",16,74,6,11.7775881378608,"1","B"
"X1690",16,74,7,14.4987200603046,"1","B"
"X1690",16,80,0,15.3912289263974,"1","B"
"X1690",16,80,1,23.6103757136194,"1","B"
"X1690",16,80,2,5.95214667917661,"1","B"
"X1690",16,80,3,22.8380624129326,"1","B"
"X1690",16,80,4,16.4725643545559,"1","B"
"X1690",16,80,5,35.7708884732501,"1","B"
"X1690",16,80,6,13.9951361174708,"1","B"
"X1690",16,80,7,17.2975486022642,"1","B"
"X1690",16,92,0,21.2302458626278,"1","B"
"X1690",16,92,1,34.6639374056633,"1","B"
"X1690",16,92,2,8.38766248408328,"1","B"
"X1690",16,92,3,31.7085629079953,"1","B"
"X1690",16,92,4,21.5875047858774,"1","B"
"X1690",16,92,5,44.1015422992905,"1","B"
"X1690",16,92,6,19.0446339651024,"1","B"
"X1690",16,92,7,25.141410212473,"1","B"
"X1690",16,98,0,25.2037732661697,"1","B"
"X1690",16,98,1,40.369572322868,"1","B"
"X1690",16,98,2,10.5127694801514,"1","B"
"X1690",16,98,3,37.039503121632,"1","B"
"X1690",16,98,4,24.9361803692472,"1","B"
"X1690",16,98,5,48.4165649422925,"1","B"
"X1690",16,98,6,21.9231711912878,"1","B"
"X1690",16,98,7,30.3627485619063,"1","B"
"X1690",16,104,0,30.103792387495,"1","B"
"X1690",16,104,1,47.1934185473276,"1","B"
"X1690",16,104,2,13.1646913184585,"1","B"
"X1690",16,104,3,43.3559067018125,"1","B"
"X1690",16,104,4,28.8769294999861,"1","B"
"X1690",16,104,5,53.3205021277711,"1","B"
"X1690",16,104,6,25.3654500993108,"1","B"
"X1690",16,104,7,36.6691802931965,"1","B"
"X1690",16,127,0,56.589575175303,"1","B"
"X1690",16,127,1,78.0677868343493,"1","B"
"X1690",16,127,2,30.2511583699018,"1","B"
"X1690",16,127,3,77.3573452749898,"1","B"
"X1690",16,127,4,50.326892486919,"1","B"
"X1690",16,127,5,62.2979823368254,"1","B"
"X1690",16,127,6,44.1827978322748,"1","B"
"X1690",16,127,7,67.858803803571,"1","B"
"X1690",16,151,0,93.0763467929619,"1","B"
"X1690",16,151,1,116.207410792213,"1","B"
"X1690",16,151,2,61.2051600401502,"1","B"
"X1690",16,151,3,119.912870417952,"1","B"
"X1690",16,151,4,81.8826823618522,"1","B"
"X1690",16,151,5,86.1620676496195,"1","B"
"X1690",16,151,6,74.0783276768285,"1","B"
"X1690",16,151,7,107.128394437346,"1","B"
"X1690",16,164,0,112.564822830377,"1","B"
"X1690",16,164,1,135.995746497747,"1","B"
"X1690",16,164,2,82.3444734339282,"1","B"
"X1690",16,164,3,142.81389473676,"1","B"
"X1690",16,164,4,100.194386142776,"1","B"
"X1690",16,164,5,101.07918398903,"1","B"
"X1690",16,164,6,92.7515042905611,"1","B"
"X1690",16,164,7,129.235530148347,"1","B"
"X1690",20,0,0,0,"2","T"
"X1690",20,0,1,0,"2","T"
"X1690",20,0,2,0,"2","T"
"X1690",20,0,3,0,"2","T"
"X1690",20,0,4,0,"2","T"
"X1690",20,0,5,0,"2","T"
"X1690",20,0,6,0,"2","T"
"X1690",20,0,7,0,"2","T"
"X1690",20,4,0,0.454,"2","T"
"X1690",20,4,1,0.858,"2","T"
"X1690",20,4,2,0.58,"2","T"
"X1690",20,4,3,0.554,"2","T"
"X1690",20,4,4,0.742,"2","T"
"X1690",20,4,5,0.438,"2","T"
"X1690",20,4,6,0.428,"2","T"
"X1690",20,4,7,0.388,"2","T"
"X1690",20,10,0,1.13687509557524,"2","T"
"X1690",20,10,1,2.110875401416,"2","T"
"X1690",20,10,2,1.47550022938057,"2","T"
"X1690",20,10,3,1.38145857758116,"2","T"
"X1690",20,10,4,1.72579167514011,"2","T"
"X1690",20,10,5,1.16804170277287,"2","T"
"X1690",20,10,6,1.145,"2","T"
"X1690",20,10,7,1.05274998725664,"2","T"
"X1690",20,22,0,3.06679041422915,"2","T"
"X1690",20,22,1,6.0630169382111,"2","T"
"X1690",20,22,2,3.95047626782337,"2","T"
"X1690",20,22,3,4.25831889426971,"2","T"
"X1690",20,22,4,4.88707446802222,"2","T"
"X1690",20,22,5,3.01015495932916,"2","T"
"X1690",20,22,6,3.07288101432132,"2","T"
"X1690",20,22,7,2.77811898622542,"2","T"
"X1690",20,28,0,4.47840918333929,"2","T"
"X1690",20,28,1,9.02817148986897,"2","T"
"X1690",20,28,2,5.51162998939231,"2","T"
"X1690",20,28,3,6.6345951645461,"2","T"
"X1690",20,28,4,6.62690930406955,"2","T"
"X1690",20,28,5,4.1461970102953,"2","T"
"X1690",20,28,6,4.45776143792094,"2","T"
"X1690",20,28,7,3.95289421046591,"2","T"
"X1690",20,34,0,6.33168186945108,"2","T"
"X1690",20,34,1,13.3116715309649,"2","T"
"X1690",20,34,2,7.4294466315849,"2","T"
"X1690",20,34,3,9.54458380588276,"2","T"
"X1690",20,34,4,8.82966958793802,"2","T"
"X1690",20,34,5,5.6747721337188,"2","T"
"X1690",20,34,6,6.31308843311467,"2","T"
"X1690",20,34,7,5.52522735945509,"2","T"
"X1690",20,46,0,12.6994979742569,"2","T"
"X1690",20,46,1,26.570542370796,"2","T"
"X1690",20,46,2,12.3988324642996,"2","T"
"X1690",20,46,3,17.3240624775416,"2","T"
"X1690",20,46,4,15.4213677393872,"2","T"
"X1690",20,46,5,10.453817889381,"2","T"
"X1690",20,46,6,11.86253864804,"2","T"
"X1690",20,46,7,10.307485116094,"2","T"
"X1690",20,52,0,17.7072925486041,"2","T"
"X1690",20,52,1,35.6618748034404,"2","T"
"X1690",20,52,2,16.5076194963317,"2","T"
"X1690",20,52,3,23.5204692731889,"2","T"
"X1690",20,52,4,21.7105004340657,"2","T"
"X1690",20,52,5,13.652678537373,"2","T"
"X1690",20,52,6,16.1528277209003,"2","T"
"X1690",20,52,7,13.7895803781897,"2","T"
"X1690",20,58,0,24.1265687166546,"2","T"
"X1690",20,58,1,46.2779462179626,"2","T"
"X1690",20,58,2,22.4543804947945,"2","T"
"X1690",20,58,3,31.3321783855629,"2","T"
"X1690",20,58,4,30.3964750616265,"2","T"
"X1690",20,58,5,17.4815622923292,"2","T"
"X1690",20,58,6,22.6629437971794,"2","T"
"X1690",20,58,7,18.9725117236346,"2","T"
"X1690",20,70,0,40.7505296344431,"2","T"
"X1690",20,70,1,69.4232212149562,"2","T"
"X1690",20,70,2,39.4272048988204,"2","T"
"X1690",20,70,3,48.9250521997968,"2","T"
"X1690",20,70,4,48.3003067892692,"2","T"
"X1690",20,70,5,28.8361903340669,"2","T"
"X1690",20,70,6,38.2519814268236,"2","T"
"X1690",20,70,7,34.0805815611349,"2","T"
"X1690",20,76,0,50.475816920904,"2","T"
"X1690",20,76,1,82.9134224362985,"2","T"
"X1690",20,76,2,48.9842655738978,"2","T"
"X1690",20,76,3,58.2258649027184,"2","T"
"X1690",20,76,4,58.8234160452286,"2","T"
"X1690",20,76,5,36.4397468432719,"2","T"
"X1690",20,76,6,47.1273217362734,"2","T"
"X1690",20,76,7,42.4413996762512,"2","T"
"X1690",20,82,0,60.8541273182703,"2","T"
"X1690",20,82,1,97.357384793108,"2","T"
"X1690",20,82,2,58.9770296562643,"2","T"
"X1690",20,82,3,67.8605899321192,"2","T"
"X1690",20,82,4,69.6447502988271,"2","T"
"X1690",20,82,5,44.320927025379,"2","T"
"X1690",20,82,6,57.01047125821,"2","T"
"X1690",20,82,7,51.6072347709325,"2","T"
"X1690",20,94,0,81.7613820662281,"2","T"
"X1690",20,94,1,125.513513723466,"2","T"
"X1690",20,94,2,78.5008734295273,"2","T"
"X1690",20,94,3,87.4711544839119,"2","T"
"X1690",20,94,4,91.0623359004114,"2","T"
"X1690",20,94,5,60.939720864654,"2","T"
"X1690",20,94,6,77.0121793682908,"2","T"
"X1690",20,94,7,70.745058138805,"2","T"
"X1690",20,100,0,92.5654063230549,"2","T"
"X1690",20,100,1,139.548231545266,"2","T"
"X1690",20,100,2,88.9703203300358,"2","T"
"X1690",20,100,3,97.5372946678169,"2","T"
"X1690",20,100,4,102.198536325872,"2","T"
"X1690",20,100,5,69.5549074573569,"2","T"
"X1690",20,100,6,87.353954432755,"2","T"
"X1690",20,100,7,80.751532279588,"2","T"
"X1690",20,106,0,103.464251984692,"2","T"
"X1690",20,106,1,153.434372106208,"2","T"
"X1690",20,106,2,100.70460088883,"2","T"
"X1690",20,106,3,107.633393775281,"2","T"
"X1690",20,106,4,113.174702320913,"2","T"
"X1690",20,106,5,78.3352387120442,"2","T"
"X1690",20,106,6,97.7192675346406,"2","T"
"X1690",20,106,7,90.8210037283912,"2","T"
"X1690",25,0,0,0,"2","T"
"X1690",25,0,1,0,"2","T"
"X1690",25,0,2,0,"2","T"
"X1690",25,0,3,0,"2","T"
"X1690",25,0,4,0,"2","T"
"X1690",25,0,5,0,"2","T"
"X1690",25,0,6,0,"2","T"
"X1690",25,0,7,0,"2","T"
"X1690",25,5,0,1.2325,"2","T"
"X1690",25,5,1,1.0325,"2","T"
"X1690",25,5,2,0.6,"2","T"
"X1690",25,5,3,0.4575,"2","T"
"X1690",25,5,4,0.52,"2","T"
"X1690",25,5,5,0.54,"2","T"
"X1690",25,5,6,0.7475,"2","T"
"X1690",25,5,7,0.985,"2","T"
"X1690",25,11,0,2.8919211765013,"2","T"
"X1690",25,11,1,2.52994141790735,"2","T"
"X1690",25,11,2,1.61785023377381,"2","T"
"X1690",25,11,3,1.13983769331296,"2","T"
"X1690",25,11,4,1.30806664268987,"2","T"
"X1690",25,11,5,1.26763758541735,"2","T"
"X1690",25,11,6,1.76257148220552,"2","T"
"X1690",25,11,7,2.4907461495274,"2","T"
"X1690",25,23,0,8.10625937436821,"2","T"
"X1690",25,23,1,6.9070488793011,"2","T"
"X1690",25,23,2,5.58940706636143,"2","T"
"X1690",25,23,3,4.01169050308481,"2","T"
"X1690",25,23,4,3.94793861126616,"2","T"
"X1690",25,23,5,3.42016255220705,"2","T"
"X1690",25,23,6,5.61604759857863,"2","T"
