,ID,value,Hours,Absorbance,Temperature,Cell_Line,Replicate,log10_transformed
0,20230713-3PM_680_25_3059_0,1.938,76.0,680,25,3059,0,0.2873537727147465
1,20230713-3PM_680_25_3059_1,1.873,76.0,680,25,3059,1,0.2725377773752374
2,20230713-3PM_680_25_3059_2,1.578,76.0,680,25,3059,2,0.19810699887340152
3,20230713-3PM_680_25_3059_3,1.83,76.0,680,25,3059,3,0.26245108973042947
4,20230713-3PM_680_25_3059_4,2.135,76.0,680,25,3059,4,0.32939787936104264
5,20230713-3PM_680_25_3059_5,1.868,76.0,680,25,3059,5,0.27137687189407456
6,20230713-3PM_680_25_3059_6,1.583,76.0,680,25,3059,6,0.1994809148623559
7,20230713-3PM_680_25_3059_7,1.662,76.0,680,25,3059,7,0.22063101944809216
8,20230713-3PM_750_25_3059_0,1.198,76.0,750,25,3059,0,0.07845681805329256
9,20230713-3PM_750_25_3059_1,1.267,76.0,750,25,3059,1,0.10277661488344131
10,20230713-3PM_750_25_3059_2,1.113,76.0,750,25,3059,2,0.04649516433470831
11,20230713-3PM_750_25_3059_3,1.218,76.0,750,25,3059,3,0.08564728829685654
12,20230713-3PM_750_25_3059_4,1.265,76.0,750,25,3059,4,0.10209052551183669
13,20230713-3PM_750_25_3059_5,1.2,76.0,750,25,3059,5,0.07918124604762482
14,20230713-3PM_750_25_3059_6,1.126,76.0,750,25,3059,6,0.05153839051532738
15,20230713-3PM_750_25_3059_7,1.11,76.0,750,25,3059,7,0.045322978786657475
16,20230713-3PM_680_25_1691_0,2.598,76.0,680,25,1691,0,0.4146391467370091
17,20230713-3PM_680_25_1691_1,2.216,76.0,680,25,1691,1,0.3455697560563922
18,20230713-3PM_680_25_1691_2,1.362,76.0,680,25,1691,2,0.13417710757676637
19,20230713-3PM_680_25_1691_3,2.131,76.0,680,25,1691,3,0.32858344971420195
20,20230713-3PM_680_25_1691_4,1.11,76.0,680,25,1691,4,0.045322978786657475
21,20230713-3PM_680_25_1691_5,2.343,76.0,680,25,1691,5,0.36977228859696276
22,20230713-3PM_680_25_1691_6,1.503,76.0,680,25,1691,6,0.17695898058690812
23,20230713-3PM_680_25_1691_7,1.523,76.0,680,25,1691,7,0.18269990333604255
24,20230713-3PM_750_25_1691_0,1.333,76.0,750,25,1691,0,0.1248301494138592
25,20230713-3PM_750_25_1691_1,1.208,76.0,750,25,1691,1,0.08206693428511301
26,20230713-3PM_750_25_1691_2,0.72,76.0,750,25,1691,2,-0.14266750356873156
27,20230713-3PM_750_25_1691_3,1.237,76.0,750,25,1691,3,0.09236969962912069
28,20230713-3PM_750_25_1691_4,0.688,76.0,750,25,1691,4,-0.16241156176448873
29,20230713-3PM_750_25_1691_5,1.287,76.0,750,25,1691,5,0.10957854690438666
30,20230713-3PM_750_25_1691_6,0.909,76.0,750,25,1691,6,-0.041436116778032536
31,20230713-3PM_750_25_1691_7,0.904,76.0,750,25,1691,7,-0.04383156952463668
32,20230713-3PM_680_25_1690_0,1.936,76.0,680,25,1690,0,0.28690535297237485
33,20230713-3PM_680_25_1690_1,2.779,76.0,680,25,1690,1,0.4438885467773719
34,20230713-3PM_680_25_1690_2,0.847,76.0,680,25,1690,2,-0.0721165896692931
35,20230713-3PM_680_25_1690_3,1.684,76.0,680,25,1690,3,0.2263420871636307
36,20230713-3PM_680_25_1690_4,1.755,76.0,680,25,1690,4,0.24427712080184286
37,20230713-3PM_680_25_1690_5,1.642,76.0,680,25,1690,5,0.21537315278342195
38,20230713-3PM_680_25_1690_6,1.633,76.0,680,25,1690,6,0.21298618473666817
39,20230713-3PM_680_25_1690_7,1.609,76.0,680,25,1690,7,0.20655604409902956
40,20230713-3PM_750_25_1690_0,1.16,76.0,750,25,1690,0,0.06445798922691845
41,20230713-3PM_750_25_1690_1,1.382,76.0,750,25,1690,1,0.14050804303817957
42,20230713-3PM_750_25_1690_2,0.536,76.0,750,25,1690,2,-0.27083521030722996
43,20230713-3PM_750_25_1690_3,0.976,76.0,750,25,1690,3,-0.010550182333308195
44,20230713-3PM_750_25_1690_4,1.088,76.0,750,25,1690,4,0.03662889536216113
45,20230713-3PM_750_25_1690_5,0.913,76.0,750,25,1690,5,-0.039529222465701036
46,20230713-3PM_750_25_1690_6,0.943,76.0,750,25,1690,6,-0.02548830726267165
47,20230713-3PM_750_25_1690_7,0.949,76.0,750,25,1690,7,-0.022733787572707352
48,20230713-3PM_680_25_2342_0,1.228,76.0,680,25,2342,0,0.08919836680514887
49,20230713-3PM_680_25_2342_1,1.781,76.0,680,25,2342,1,0.2506639194632435
50,20230713-3PM_680_25_2342_2,1.381,76.0,680,25,2342,2,0.1401936785786313
51,20230713-3PM_680_25_2342_3,1.608,76.0,680,25,2342,3,0.20628604441243248
52,20230713-3PM_680_25_2342_4,1.316,76.0,680,25,2342,4,0.1192558892779367
53,20230713-3PM_680_25_2342_5,1.396,76.0,680,25,2342,5,0.14488541828714227
54,20230713-3PM_680_25_2342_6,1.773,76.0,680,25,2342,6,0.24870873560091777
55,20230713-3PM_680_25_2342_7,1.242,76.0,680,25,2342,7,0.09412159584056139
56,20230713-3PM_750_25_2342_0,0.906,76.0,750,25,2342,0,-0.042871802323186915
57,20230713-3PM_750_25_2342_1,1.122,76.0,750,25,2342,1,0.049992856920142645
58,20230713-3PM_750_25_2342_2,1.022,76.0,750,25,2342,2,0.009450895798693935
