,ID,value,Hours,Absorbance,Temperature,Cell_Line,Replicate,log10_transformed
0,20230710-9AM_650_25_3059_0,1.642,164.0,650,25,3059,0,0.21537315278342195
1,20230710-9AM_650_25_3059_1,2.299,164.0,650,25,3059,1,0.36153897126927903
2,20230710-9AM_650_25_3059_2,1.621,164.0,650,25,3059,2,0.20978301484851494
3,20230710-9AM_650_25_3059_3,1.679,164.0,650,25,3059,3,0.2250506961380488
4,20230710-9AM_650_25_3059_4,1.573,164.0,650,25,3059,4,0.19672872262328683
5,20230710-9AM_650_25_3059_5,1.712,164.0,650,25,3059,5,0.2335037603411344
6,20230710-9AM_650_25_3059_6,1.577,164.0,650,25,3059,6,0.19783169332890285
7,20230710-9AM_650_25_3059_7,1.563,164.0,650,25,3059,7,0.1939589780191869
8,20230710-9AM_680_25_3059_0,2.091,164.0,680,25,3059,0,0.3203540328176719
9,20230710-9AM_680_25_3059_1,2.771,164.0,680,25,3059,1,0.4426365257822317
10,20230710-9AM_680_25_3059_2,2.057,164.0,680,25,3059,2,0.313234291694724
11,20230710-9AM_680_25_3059_3,2.126,164.0,680,25,3059,3,0.32756326018727794
12,20230710-9AM_680_25_3059_4,1.989,164.0,680,25,3059,4,0.2986347831244356
13,20230710-9AM_680_25_3059_5,2.164,164.0,680,25,3059,5,0.33525725643453186
14,20230710-9AM_680_25_3059_6,1.92,164.0,680,25,3059,6,0.28330122870354957
15,20230710-9AM_680_25_3059_7,1.948,164.0,680,25,3059,7,0.2895889525425967
16,20230710-9AM_750_25_3059_0,1.147,164.0,750,25,3059,0,0.059563417901267686
17,20230710-9AM_750_25_3059_1,1.37,164.0,750,25,3059,1,0.1367205671564068
18,20230710-9AM_750_25_3059_2,1.142,164.0,750,25,3059,2,0.05766610390982921
19,20230710-9AM_750_25_3059_3,1.171,164.0,750,25,3059,3,0.06855689507236315
20,20230710-9AM_750_25_3059_4,1.099,164.0,750,25,3059,4,0.04099769242349056
21,20230710-9AM_750_25_3059_5,1.19,164.0,750,25,3059,5,0.07554696139253074
22,20230710-9AM_750_25_3059_6,1.184,164.0,750,25,3059,6,0.07335170238690095
